Accession,Organism_Name,Species,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
KP456369,Influenza A virus (A/England/270/2010(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1698,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2010-12-06,2015-06-01,ssRNA(-)
KP456863,Influenza A virus (A/England/700/2009(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1100,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2009-09-08,2015-06-01,ssRNA(-)
KP457073,Influenza A virus (A/England/593/2006(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1695,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2006-03-24,2015-06-01,ssRNA(-)
KP457130,Influenza A virus (A/England/815/2009(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1100,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2009-09-15,2015-06-01,ssRNA(-)
KP457340,Influenza A virus (A/England/687/2008(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1650,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2008-12-30,2015-06-01,ssRNA(-)
KP457403,Influenza A virus (A/England/654/2007(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1695,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2007-12-31,2015-06-01,ssRNA(-)
KP457560,Influenza A virus (A/England/3940462/2010(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1698,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2010-09-27,2015-06-01,ssRNA(-)
KP458013,Influenza A virus (A/England/691/2010(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1698,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2010-12-13,2015-06-01,ssRNA(-)
KP458024,Influenza A virus (A/England/594/2006(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1695,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2006-03-31,2015-06-01,ssRNA(-)
KP458084,Influenza A virus (A/England/494/2006(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1695,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2006-04-11,2015-06-01,ssRNA(-)
KP458190,Influenza A virus (A/England/545/2007(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1695,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2007-07-28,2015-06-01,ssRNA(-)
KP458264,Influenza A virus (A/England/695/2008(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1650,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2008-12-10,2015-06-01,ssRNA(-)
KP458391,Influenza A virus (A/England/557/2007(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1695,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2007-11-15,2015-06-01,ssRNA(-)
KP458392,Influenza A virus (A/England/4820166/2010(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1698,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2010-11-26,2015-06-01,ssRNA(-)
KP458724,Influenza A virus (A/England/652/2008(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1650,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2008-12-09,2015-06-01,ssRNA(-)
KP458857,Influenza A virus (A/England/493/2006(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1695,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2006-04-10,2015-06-01,ssRNA(-)
KP459366,Influenza A virus (A/England/699/2008(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1650,partial,United Kingdom,Homo sapiens,,"Bedford,T., Riley,S., Barr,I.G., Broor,S., Chadha,M., Cox,N.J., Daniels,R.S., Gunasekaran,C.P., Hurt,A.C., Kelso,A., Klimov,A., Lewis,N.S., Li,X., McCauley,J.W., Odagiri,T., Potdar,V., Rambaut,A., Shu,Y., Skepner,E., Smith,D.J., Suchard,M.A., Tashiro,M., Wang,D., Xu,X., Lemey,P., Russell,C.A.",2008-12-19,2015-06-01,ssRNA(-)
LN850122,Influenza A virus (A/England/11/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1,2280,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850123,Influenza A virus (A/England/11/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,2,2274,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850124,Influenza A virus (A/England/11/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,3,2151,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850125,Influenza A virus (A/England/11/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1701,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850126,Influenza A virus (A/England/11/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,5,1497,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850127,Influenza A virus (A/England/11/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,6,1410,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850128,Influenza A virus (A/England/11/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,7,982,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850129,Influenza A virus (A/England/11/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,8,838,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850130,Influenza A virus (A/England/21680633/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1,2280,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-15,2015-05-21,ssRNA(-)
LN850131,Influenza A virus (A/England/21680633/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,2,2274,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-15,2015-05-21,ssRNA(-)
LN850132,Influenza A virus (A/England/21680633/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,3,2151,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-15,2015-05-21,ssRNA(-)
LN850133,Influenza A virus (A/England/21680633/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1701,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-15,2015-05-21,ssRNA(-)
LN850134,Influenza A virus (A/England/21680633/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,5,1497,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-15,2015-05-21,ssRNA(-)
LN850135,Influenza A virus (A/England/21680633/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,6,1410,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-15,2015-05-21,ssRNA(-)
LN850136,Influenza A virus (A/England/21680633/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,7,982,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-15,2015-05-21,ssRNA(-)
LN850137,Influenza A virus (A/England/21680633/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,8,838,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-15,2015-05-21,ssRNA(-)
LN850281,Influenza A virus (A/England/688/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1,2280,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-18,2015-05-21,ssRNA(-)
LN850282,Influenza A virus (A/England/688/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,2,2274,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-18,2015-05-21,ssRNA(-)
LN850283,Influenza A virus (A/England/688/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,3,2151,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-18,2015-05-21,ssRNA(-)
LN850284,Influenza A virus (A/England/688/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1701,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-18,2015-05-21,ssRNA(-)
LN850285,Influenza A virus (A/England/688/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,5,1497,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-18,2015-05-21,ssRNA(-)
LN850286,Influenza A virus (A/England/688/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,6,1410,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-18,2015-05-21,ssRNA(-)
LN850287,Influenza A virus (A/England/688/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,7,982,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-18,2015-05-21,ssRNA(-)
LN850288,Influenza A virus (A/England/688/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,8,838,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-18,2015-05-21,ssRNA(-)
LN850289,Influenza A virus (A/England/WTSI1826/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1,2280,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-30,2015-05-21,ssRNA(-)
LN850290,Influenza A virus (A/England/WTSI1826/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,2,2274,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-30,2015-05-21,ssRNA(-)
LN850291,Influenza A virus (A/England/WTSI1826/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,3,2151,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-30,2015-05-21,ssRNA(-)
LN850292,Influenza A virus (A/England/WTSI1826/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1701,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-30,2015-05-21,ssRNA(-)
LN850293,Influenza A virus (A/England/WTSI1826/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,5,1497,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-30,2015-05-21,ssRNA(-)
LN850294,Influenza A virus (A/England/WTSI1826/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,6,1410,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-30,2015-05-21,ssRNA(-)
LN850295,Influenza A virus (A/England/WTSI1826/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,7,982,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-30,2015-05-21,ssRNA(-)
LN850296,Influenza A virus (A/England/WTSI1826/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,8,838,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-30,2015-05-21,ssRNA(-)
LN850297,Influenza A virus (A/England/132/2011(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1,2280,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2011-01-01,2015-05-21,ssRNA(-)
LN850298,Influenza A virus (A/England/132/2011(H1N1)),Alphainfluenzavirus influenzae,H1N1,,2,2274,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2011-01-01,2015-05-21,ssRNA(-)
LN850299,Influenza A virus (A/England/132/2011(H1N1)),Alphainfluenzavirus influenzae,H1N1,,3,2151,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2011-01-01,2015-05-21,ssRNA(-)
LN850300,Influenza A virus (A/England/132/2011(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1701,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2011-01-01,2015-05-21,ssRNA(-)
LN850301,Influenza A virus (A/England/132/2011(H1N1)),Alphainfluenzavirus influenzae,H1N1,,5,1497,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2011-01-01,2015-05-21,ssRNA(-)
LN850302,Influenza A virus (A/England/132/2011(H1N1)),Alphainfluenzavirus influenzae,H1N1,,6,1410,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2011-01-01,2015-05-21,ssRNA(-)
LN850303,Influenza A virus (A/England/132/2011(H1N1)),Alphainfluenzavirus influenzae,H1N1,,7,982,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2011-01-01,2015-05-21,ssRNA(-)
LN850304,Influenza A virus (A/England/132/2011(H1N1)),Alphainfluenzavirus influenzae,H1N1,,8,838,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2011-01-01,2015-05-21,ssRNA(-)
LN850305,Influenza A virus (A/England/692/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1,2280,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-14,2015-05-21,ssRNA(-)
LN850306,Influenza A virus (A/England/692/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,2,2274,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-14,2015-05-21,ssRNA(-)
LN850307,Influenza A virus (A/England/692/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,3,2151,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-14,2015-05-21,ssRNA(-)
LN850308,Influenza A virus (A/England/692/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1701,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-14,2015-05-21,ssRNA(-)
LN850309,Influenza A virus (A/England/692/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,5,1497,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-14,2015-05-21,ssRNA(-)
LN850310,Influenza A virus (A/England/692/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,6,1410,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-14,2015-05-21,ssRNA(-)
LN850311,Influenza A virus (A/England/692/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,7,982,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-14,2015-05-21,ssRNA(-)
LN850312,Influenza A virus (A/England/692/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,8,838,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-14,2015-05-21,ssRNA(-)
LN850318,Influenza A virus (A/England/377/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1,2280,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-13,2015-05-21,ssRNA(-)
LN850319,Influenza A virus (A/England/377/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,2,2274,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-13,2015-05-21,ssRNA(-)
LN850320,Influenza A virus (A/England/377/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,3,2151,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-13,2015-05-21,ssRNA(-)
LN850321,Influenza A virus (A/England/377/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1701,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-13,2015-05-21,ssRNA(-)
LN850322,Influenza A virus (A/England/377/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,5,1497,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-13,2015-05-21,ssRNA(-)
LN850323,Influenza A virus (A/England/377/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,6,1410,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-13,2015-05-21,ssRNA(-)
LN850324,Influenza A virus (A/England/377/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,7,982,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-13,2015-05-21,ssRNA(-)
LN850325,Influenza A virus (A/England/377/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,8,838,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-12-13,2015-05-21,ssRNA(-)
LN850326,Influenza A virus (A/England/05020673/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1,2280,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-11,2015-05-21,ssRNA(-)
LN850327,Influenza A virus (A/England/05020673/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,2,2274,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-11,2015-05-21,ssRNA(-)
LN850328,Influenza A virus (A/England/05020673/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,3,2151,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-11,2015-05-21,ssRNA(-)
LN850329,Influenza A virus (A/England/05020673/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1701,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-11,2015-05-21,ssRNA(-)
LN850330,Influenza A virus (A/England/05020673/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,5,1497,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-11,2015-05-21,ssRNA(-)
LN850331,Influenza A virus (A/England/05020673/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,6,1410,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-11,2015-05-21,ssRNA(-)
LN850332,Influenza A virus (A/England/05020673/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,7,982,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-11,2015-05-21,ssRNA(-)
LN850333,Influenza A virus (A/England/05020673/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,8,838,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-12-11,2015-05-21,ssRNA(-)
LN850334,Influenza A virus (A/England/00380709/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1,2280,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850335,Influenza A virus (A/England/00380709/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,2,2277,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850336,Influenza A virus (A/England/00380709/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,3,2151,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850337,Influenza A virus (A/England/00380709/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,4,1701,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850338,Influenza A virus (A/England/00380709/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,5,1497,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850339,Influenza A virus (A/England/00380709/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,6,1410,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850340,Influenza A virus (A/England/00380709/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,7,982,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850341,Influenza A virus (A/England/00380709/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,8,838,partial,United Kingdom:London,Homo sapiens,,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850342,Influenza A virus (A/England/01180018/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1,2280,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850343,Influenza A virus (A/England/01180018/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,2,2274,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
LN850344,Influenza A virus (A/England/01180018/2010(H1N1)),Alphainfluenzavirus influenzae,H1N1,,3,2151,partial,United Kingdom:London,Homo sapiens,oronasopharynx,"Grayson E,Nicholas.",2010-03-18,2015-05-21,ssRNA(-)
