Accession,Organism_Name,Species,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
OQ764645,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED66,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-13,2023-05-03,ssRNA(-)
OQ764646,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED66,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-13,2023-05-03,ssRNA(-)
OQ764647,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED67,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-13,2023-05-03,ssRNA(-)
OQ764648,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED67,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-13,2023-05-03,ssRNA(-)
OQ764649,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED67,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-13,2023-05-03,ssRNA(-)
OQ764650,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED67,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-13,2023-05-03,ssRNA(-)
OQ764651,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED67,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-13,2023-05-03,ssRNA(-)
OQ764652,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED67,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-13,2023-05-03,ssRNA(-)
OQ764653,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED67,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-13,2023-05-03,ssRNA(-)
OQ764654,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED67,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-13,2023-05-03,ssRNA(-)
OQ764655,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED69,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764656,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED69,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764657,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED69,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764658,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED69,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764659,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED69,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764660,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED69,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764661,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED69,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764662,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED69,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764663,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED70,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764664,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED70,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764665,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED70,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764666,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED70,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764667,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED70,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764668,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED70,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764669,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED70,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764670,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED70,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764671,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED71,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764672,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED71,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764673,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED71,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764674,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED71,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764675,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED71,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764676,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED71,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764677,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED71,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764678,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED71,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764679,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED75,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764680,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED75,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764681,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED75,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764682,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED75,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764683,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED75,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764684,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED75,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764685,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED75,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764686,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED75,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764687,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED79,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764688,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED79,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764689,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED79,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764690,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED79,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764691,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED79,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764692,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED79,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764693,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED79,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764694,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED79,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764695,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED8,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764696,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED8,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764697,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED8,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764698,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED8,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764699,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED8,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764700,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED8,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764701,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED8,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764702,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED8,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-21,2023-05-03,ssRNA(-)
OQ764703,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED80,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-02,2023-05-03,ssRNA(-)
OQ764704,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED80,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-02,2023-05-03,ssRNA(-)
OQ764705,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED80,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-02,2023-05-03,ssRNA(-)
OQ764706,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED80,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-02,2023-05-03,ssRNA(-)
OQ764707,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED80,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-02,2023-05-03,ssRNA(-)
OQ764708,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED80,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-02,2023-05-03,ssRNA(-)
OQ764709,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED80,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-02,2023-05-03,ssRNA(-)
OQ764710,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED80,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2023-01-02,2023-05-03,ssRNA(-)
OQ764711,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED83,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764712,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED83,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764713,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED83,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764714,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED83,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764715,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED83,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764716,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED83,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764717,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED83,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764718,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED83,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-29,2023-05-03,ssRNA(-)
OQ764719,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED84,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764720,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED84,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764721,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED84,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764722,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED84,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764723,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED84,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764724,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED84,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764725,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED84,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764726,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED84,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-22,2023-05-03,ssRNA(-)
OQ764727,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED86,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-28,2023-05-03,ssRNA(-)
OQ764728,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED86,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-28,2023-05-03,ssRNA(-)
OQ764729,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED86,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-28,2023-05-03,ssRNA(-)
OQ764730,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED86,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-28,2023-05-03,ssRNA(-)
OQ764731,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED86,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-28,2023-05-03,ssRNA(-)
OQ764732,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED86,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-28,2023-05-03,ssRNA(-)
OQ764733,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED86,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-28,2023-05-03,ssRNA(-)
OQ764734,Influenza A virus,Alphainfluenzavirus influenzae,H1,GSTT_IAV_ED86,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-28,2023-05-03,ssRNA(-)
OQ764735,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED87,1,2280,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764736,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED87,2,2274,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764737,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED87,3,2151,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764738,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED87,4,1701,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764739,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED87,5,1497,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764740,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED87,7,982,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764741,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED87,8,838,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
OQ764742,Influenza A virus,Alphainfluenzavirus influenzae,H3,GSTT_IAV_ED87,6,1410,partial,United Kingdom,United Kingdom,Homo sapiens,oronasopharynx,"Williams,T.G.S., Nebbia,G., Alder,C., Snell,L.B.",2022-12-23,2023-05-03,ssRNA(-)
